Назва,Категорія,Місто,Ціна (грн),Ціна (сирова),Торг,Бізнес,Дата
Игровой системный блок FORSAGE∎Ryzen 5 5500∎16GB ОЗУ∎Nvme SSD∎RX 570,Електроніка,Дніпро,22650,22 650 грн.,false,false,
iPhone 15 Pro max 256gb Neverlock АКБ 96 айфон,Електроніка,Київ,19499,19 499 грн.,false,false,
Гідрогелева плівка САМОРЕМОНТ Google Pixel 7 Pro Гидрогель на пиксель,Електроніка,Київ,199,199 грн.,false,false,
Німецька Духова шафв Miele H 2267-1BP,Електроніка,Дніпро,19500,19 500 грн.,false,false,
Відеокарта NVIDIA Tesla P100 16GB,Електроніка,Дніпро,4699,4 699 грн.,false,false,
Кавомашина Кавоварка Philips Series 3200 EP3240 LatteGo з дому!,Електроніка,Дніпро,8950,8 950 грн.,false,false,
"LiFePO4 315Ah 3,2V акумулятори залізофосфат Envision,Eve",Електроніка,Київ,3500,3 500 грн.,false,false,
"Філамент PLA CR-Silk 1.0Kg 1.75mm Red Copper, мідь",Електроніка,Львів,1000,1 000 грн.,false,false,
"Силіконовий ремінець  Redmi Watch 4 / 5, MiBand 8 / 9 Pro",Електроніка,Київ,159,159 грн.,false,false,
"Samsung Galaxy Z Flip6 12/512GB Yellow — НОВИЙ, запакований, є 2 шт.",Електроніка,Київ,25000,25 000 грн.,false,false,
Oppo enco x3s  silver,Електроніка,Харків,4499,4 499 грн.,false,false,
iPhone 12 Pro Max 128 GB Unlock _ Гарантія _ Магазин_Обмін,Електроніка,Київ,9500,9 500 грн.,false,false,
"Xgimi Mogo 2 Pro (new, 2025), DLP, 430 ISO, HDR,Google TV, Netflix",Електроніка,Київ,14944,14 944 грн.,false,false,
Продам швейную машинку Shunfa SF818-U,Електроніка,Одеса,8000,8 000 грн.Договірна,true,false,
Дзеркальний фотоапарат Nikon D3100 18-55mm 16Gb + сумка (Пробіг 14273),Електроніка,Харків,4200,4 200 грн.,false,false,
iPad Pro 13 M4 (2024) 512GB,Електроніка,Харків,48000,48 000 грн.,false,false,
Чехол Samsung S24. 3 шт.,Електроніка,Харків,300,300 грн.,false,false,
Супутниковий тюнер EuroSky ES-4080 Т2Mi мультистрим ПРОШИТ Mpeg4 Full,Електроніка,Київ,705,705 грн.,false,false,
Игровой системный блок FORSAGE∎Ryzen 5 5500∎16GB ОЗУ∎Nvme SSD∎RX 570,Електроніка,Дніпро,22650,22 650 грн.,false,false,
iPad Pro 13 M4 (2024) 512GB,Електроніка,Харків,48000,48 000 грн.,false,false,
Гриль-барбекю електричний Tefal GC750D16,Електроніка,Львів,3500,3 500 грн.,false,false,
Робот мойщик для мытья окон робот для миття вікон для мойки окон,Електроніка,Київ,2999,2 999 грн.,false,false,
Samsung Flip 6 12/256/512 Європа,Електроніка,Київ,18000,18 000 грн.,false,false,
Зарядная станция Ctechi JustNow GT200 240Wh Lifepo4 как Ecoflow Bluett,Електроніка,Київ,6999,6 999 грн.,false,false,
"ХИТ! ДВА ТЭНА! 12,5 Л. Аэрогриль Rainberg RB-2321 мультипіч аерогриль",Електроніка,Одеса,2850,2 850 грн.,false,false,
Кавомашина Кавоварка Philips Series 3200 EP3240 LatteGo з дому!,Електроніка,Дніпро,8950,8 950 грн.,false,false,
•КРАЩА ЦІНА•New Redmi Note 14 Pro 5G 12/512GB Новий,Електроніка,Львів,14495,14 495 грн.,false,false,
Xiaomi 12X 256gb,Електроніка,Одеса,1700,1 700 грн.,false,false,
"Samsung Galaxy Z Flip6 12/512GB Yellow — НОВИЙ, запакований, є 2 шт.",Електроніка,Київ,25000,25 000 грн.,false,false,
"Xgimi Mogo 2 Pro (new, 2025), DLP, 430 ISO, HDR,Google TV, Netflix",Електроніка,Київ,14944,14 944 грн.,false,false,
Cambridge Audio CXN100(весь модельний ряд Cambridge)),Електроніка,Київ,44900,44 900 грн.Договірна,true,false,
Sony FDR AX700 камкодер,Електроніка,Київ,50000,50 000 грн.,false,false,
Ноутбук Fujitsu LifeBook U749 | Core i7-8665U | 16GB | 14 FHD | 256GB,Електроніка,Київ,7800,7 800 грн.,false,false,
Газова плита таганок Rainberg RB-2230 в стилі High-tech под балон,Електроніка,Харків,989,989 грн.,false,false,
Професссиональный вакууматор Caso VRH 490 590 професійний вакуматор,Електроніка,Одеса,4300,4 300 грн.,false,false,
Оригінальний пульт для телевізора LG AN-MR23GA,Електроніка,Одеса,1700,1 700 грн.,false,false,
Поворотна камера Anbiux Wi-Fi 10МП 5K A20 PTZ с з двома об'єктивами,Електроніка,Львів,999,999 грн.Договірна,true,false,
Преобразователь инвертор 24-220v 2000ватт. Перетворювач струму,Електроніка,Харків,1750,1 750 грн.,false,false,
НОВАЯ Материнская плата Asus ROG Strix B850-A Gaming Wi-Fi,Електроніка,Харків,8649,8 649 грн.,false,false,
Телевізор LG 50QNED84A3C Нова модель 2025/2026,Електроніка,Одеса,19490,19 490 грн.,false,false,
Оригинал комплект Быстрой зарядки iPhone 15 16 35w Apple USB C type c,Електроніка,Львів,450,450 грн.,false,false,
Чохол TechWoven Magsafe iPhone 17 Pro Max чехол айфон 17 про макс 1:1,Електроніка,Київ,899,899 грн.,false,false,
Плита електрична Royalty Line DKP-2500.15 | 2500Вт | 2 конфорки,Електроніка,Львів,1150,1 150 грн.,false,false,
Монитор Samsung 19 20 22,Електроніка,Дніпро,600,600 грн.,false,false,
Професссиональный вакууматор Caso VRH 490 590 професійний вакуматор,Електроніка,Одеса,4300,4 300 грн.,false,false,
G.Skill Ripjaws V DDR4 32GB 4400MHz CL19 XMP 2.0,Електроніка,Київ,7200,7 200 грн.,false,false,
PlayStation 4  500 GB + ігри + джойстик,Електроніка,Київ,5100,5 100 грн.,false,false,
Ajax WaterStop Кран перекрытия воды с дистанционным управлением,Електроніка,Київ,5000,5 000 грн.,false,false,
Oppo enco x3s  silver,Електроніка,Харків,4499,4 499 грн.,false,false,
Продаю  Canon RP,Електроніка,Одеса,22500,22 500 грн.Договірна,true,false,
Apple watch Watch SE 2 40 мм акб 100 % ідеальний стан,Електроніка,Харків,5500,5 500 грн.,false,false,
Айфон iphone 14 pro max 128gb офіційний,Електроніка,Харків,26499,26 499 грн.,false,false,
Портативна електростанція  для дома  300 Вт  є розетка 220,Електроніка,Київ,11861,11 861 грн.Договірна,true,false,
Акція Акумулятор LiFePO4 12В 200Ah 300Ah DATOU BOSS літій-залізофосфат,Електроніка,Київ,16000,16 000 грн.,false,false,
"Apple iphone 13 pro 128 gb silver нова батарея, гарний стан, фіз сімка",Електроніка,Київ,14999,14 999 грн.,false,false,
Силиконовый чехол sillicone case на iphone айфон силіконовий чохол,Електроніка,Харків,139,139 грн.,false,false,
Ноутбук HP Probook 455 G8 15.6 HD Ryzen 5  5600U 8GB ОЗУ 256 SSD,Електроніка,Одеса,12000,12 000 грн.,false,false,
Ноутбук MSI Cyborg 15 B2RWGKG-409US,Електроніка,Київ,67195,67 195 грн.,false,false,
•КРАЩА ЦІНА•New iPhone 12 Pro Max 128gb/Айфон 12 ПроМакс 128 Neverlock,Електроніка,Львів,20495,20 495 грн.,false,false,
Oculus Meta Quest 3 128Gb + кабель Link,Електроніка,Львів,17500,17 500 грн.Договірна,true,false,
"Мiкрохвильова пiч LG, микроволновка, печь",Електроніка,Київ,2150,2 150 грн.,false,false,
Iphone 13 (128gb) в ідеальному стані,Електроніка,Київ,12000,12 000 грн.Договірна,true,false,
"3D Аналоговий Стік на Холла Hall Effect Для PS5, PS4, Xbox, Ремонт",Електроніка,Київ,149,149 грн.,false,false,
"В наявності, allpowers r600, 300вт/год",Електроніка,Київ,6999,6 999 грн.,false,false,
продам ноутбук hp620,Електроніка,Дніпро,1800,1 800 грн.,false,false,
Батарея для дома Deye SE-F5 Pro-C - 51.2V 5.12kWh,Електроніка,Одеса,39700,39 700 грн.Договірна,true,false,
"Наклейки Windows 10, 11, PRO, Home, OEM лицензия СOA наклейка оригинал",Електроніка,Київ,299,299 грн.,false,false,
"Годинник Scubapro Galileo 3 — комп’ютер для дайвінгу, НОВИЙ!",Електроніка,Київ,25900,25 900 грн.,false,false,
Акумулятор DATOUBOSS 12V 100Ah LiFePO4 с BMS 100A,Електроніка,Київ,9000,9 000 грн.,false,false,
"15.6"" Lenovo Legion Y720 / i7-7700HQ / SSD-240gb / RAM-8gb DDR4",Електроніка,Київ,9999,9 999 грн.,false,false,
Докстанція MWC13  для Xiaomi Mi Wireless Outdoor Security Camera 1080p,Електроніка,Київ,999,999 грн.Договірна,true,false,
"Универсальний репитер CSM DCS 3G 4G,усилитель связи 900,1800,2100 Мгц",Електроніка,Львів,3555,3 555 грн.,false,false,
Starlink Mini від StarlinkUA.com новий у Харкові сьогодні,Електроніка,Харків,15999,15 999 грн.,false,false,
СОРТИРОВЩИК KISAN NEWTON hd. Кисан III (DUAL) Счетчик Банкнот Киев,Електроніка,Київ,49499,49 499 грн.,false,false,
Iphone 11 128gb  в идеальном состоянии,Електроніка,Одеса,6206,6 206 грн.,false,false,
Інвертор(+акумулятор)під Макіта роз'єм 220В і 3 USB роз'єми,Електроніка,Дніпро,350,350 грн.,false,false,
•КРАЩА ЦІНА•New iPhone 13 Pro Max 128GB Новий Айфон 13 Про Макс,Електроніка,Львів,27495,27 495 грн.,false,false,
АКЦІЯ‼️МАГСЕЙФ‼️Магнітний Power Bank 10000mAh 22.5 + LED дисплей,Електроніка,Одеса,770,770 грн.,false,false,
Вбудована духовка/встраеваемая пачка Mastercook wsr5563bv б/у з Європи,Електроніка,Київ,3999,3 999 грн.Договірна,true,false,
iPhone X 64 GB Neverlock _ Гарантія _ Магазин_Обмін,Електроніка,Київ,4000,4 000 грн.,false,false,
Лицензия MINECRAFT Java & Bedrock Edition! ПК Майнкрафт Джава/Бедрок,Електроніка,Дніпро,50,50 грн.Договірна,true,false,
Бесперебойник 14000мА DC1018L UPS ДБЖ ИБП УПС Павербанк,Електроніка,Київ,900,900 грн.,false,false,
•КРАЩА ЦІНА• Новий iPhone 13 Pro 128Gb  Neverlock New Айфон 13 про,Електроніка,Львів,24995,24 995 грн.,false,false,
Iphone 13 Pro 128gb Neverlock,Електроніка,Київ,15000,15 000 грн.,false,false,
Ігровий Ноутбук DELL / NVIDIA 940MX / i5-7440HQ / DDR4 8GB / SSD + HDD,Електроніка,Харків,12000,12 000 грн.Договірна,true,false,
!КРАЩА ЦІНА ! Новий iPhone 13 Mini 128GB Neverlock New Apple,Електроніка,Львів,17495,17 495 грн.,false,false,
Реєстратор Dahua 4 канальний Smart 1U  Видеорегистратор 4 канальный,Електроніка,Київ,2995,2 995 грн.,false,false,
"Чохли Apple iPhone 16 Pro, 17 Pro Silicone Case with MagSafe - Black",Електроніка,Київ,1700,1 700 грн.,false,false,
iPhone 13 Pro 128 Gb Blue ідеал 100%,Електроніка,Київ,19400,19 400 грн.,false,false,
Привід Panasonic UJ240 6X Записує Blu-Ray Burner Writer BD-RE 12.7мм,Електроніка,Київ,650,650 грн.,false,false,
EcoFlow Power Hat / Капелюх з сонячними панелями (М-L),Електроніка,Київ,2400,2 400 грн.Договірна,true,false,
Чохол Silicone Case MagSafe iPhone 17 Pro Max силиконовый чехол 17pro,Електроніка,Київ,350,350 грн.,false,false,
Apple iPad Air 5 m1,Електроніка,Київ,15500,15 500 грн.,false,false,
Дисплей iPhone X Xs Max 11 12 13 14 pro Max 15 экран с заменой модуль,Електроніка,Київ,1500,1 500 грн.,false,false,
"Retroid Pocket 5 black ( 8/128 ), портативная консоль , приставка",Електроніка,Харків,12500,12 500 грн.,false,false,
iPhone 16 Pro Max 256gb White Titanium Unlock від Магазину!,Електроніка,Київ,37990,37 990 грн.,false,false,
Чохол TechWoven Magsafe iPhone Air чехол айфон 17 air 1:1 айфон 17 аір,Електроніка,Київ,899,899 грн.,false,false,
•КРАЩА ЦІНА•Новий iPhone 11 Pro 256GB / Айфон 11 Про 256 New•,Електроніка,Львів,16995,16 995 грн.,false,false,
Лот чохлів (Ag glass case) 625 шт,Електроніка,Одеса,86000,86 000 грн.Договірна,true,false,
Iphone 12 pro 256 gb pacific blue,Електроніка,Київ,10500,10 500 грн.,false,false,
•КРАЩА ЦІНА• S21+ Samsung New/Новий Самсунг С21+,Електроніка,Львів,14995,14 995 грн.,false,false,
Акумулятор Anenji 24V-100AH-PX,Електроніка,Дніпро,20999,20 999 грн.,false,false,
•КРАЩА ЦІНА•New iPhone 14 Plus 256GB Новий Європа Фізична Сім,Електроніка,Львів,25995,25 995 грн.,false,false,
Ігровий ноутбук Dell G15 5521 -15`240Hz|i9-12900H|16GB|1TB|RTX 3070 ti,Електроніка,Одеса,44999,44 999 грн.,false,false,
"Распродажа б/у техники — мониторы, системные блоки, ноутбуки",Електроніка,Київ,999,999 грн.Договірна,true,false,
"IP камера Hikvision 4MP моториз. 2.8–12мм, PoE, MicroSD",Електроніка,Одеса,4000,4 000 грн.,false,false,
ATK f1 v2 ultimate,Електроніка,Харків,3500,3 500 грн.,false,false,
"СКЛО В ПОДАРУНОК Екран iPhone X, 11, 12, 13, 14 Pro Max дисплей экран",Електроніка,Київ,875,875 грн.,false,false,
Ліцензія Minecraft +ХАЙПІКСЕЛЬ Майнкрафт Джава & Бедрок PC/ПК Игры,Електроніка,Львів,39,39 грн.Договірна,true,false,
Оперативна пам'ять для ноутбука Samsung DDR5 SO-DIMM 8gb 4800 Mhz,Електроніка,Дніпро,3500,3 500 грн.,false,false,
•КРАЩА ЦІНА•НовийiPhone Xs Max 256gb/ Айфон ХсМакс 256ГБ NEW•,Електроніка,Львів,12495,12 495 грн.,false,false,
iPhone 15 Pro Max Neverlock _ Гарантія _ Магазин,Електроніка,Київ,29500,29 500 грн.,false,false,
iPhone 16 Plus 128 gb neverlock l Магазин l Гарантія,Електроніка,Київ,27000,27 000 грн.,false,false,
Духова шафа Miele H6660BP Милле,Електроніка,Дніпро,42000,42 000 грн.,false,false,
Ноутбук Dell 7420 i5 1145g7 16/256ssd iris xe graphics 2gb,Електроніка,Дніпро,9500,9 500 грн.,false,false,
•КРАЩА ЦІНА•Новий iPhone 12 Pro 256gb/ Айфон 12 Про 256 Оригінал•NEW•,Електроніка,Львів,19995,19 995 грн.,false,false,
•КРАЩА ЦІНА•Новий Samsung Note 20 Ultra DUOS/Galaxy Ноте 20 Ультра,Електроніка,Львів,21495,21 495 грн.,false,false,
Зарядна станція BougeRV SYZ-G1000 з батареєю LiFePO4 ємністю 1120Wh,Електроніка,Київ,21000,21 000 грн.Договірна,true,false,
iPhone 15 128 ідеальний стан ‼️ офіційний ‼️,Електроніка,Львів,19000,19 000 грн.,false,false,
Оперативна пам'ять Micron 16 GB SO-DIMM DDR4 3200 MHz,Електроніка,Київ,2730,2 730 грн.,false,false,
Система рідинного охолодження Corsair Nautilus 360 RS ARGB,Електроніка,Київ,2990,2 990 грн.,false,false,
Зарядна станція Pecron E300LFP 288 Ватт годин на LiFePO4 акумуляторі!,Електроніка,Київ,9400,9 400 грн.,false,false,
ТОП Модуль екран Samsung Galaxy Note Ultra (всі моделі) LCD,Електроніка,Одеса,590,590 грн.,false,false,
iPhone 14 Pro 256 Gb Silver гарний 100%,Електроніка,Київ,23500,23 500 грн.Договірна,true,false,
"Аккумулятор,комірка LiFePo4EVE 24V-48V 105Ah,230Ah,280Ah,304Ah,314Ah",Електроніка,Київ,24000,24 000 грн.Договірна,true,false,
Класне захисне скло Xiaomi Redmi Note 12 Pro Poco X5 Pro стекло суперд,Електроніка,Київ,125,125 грн.,false,false,
Samsung Galaxy S23 Ultra 8-256,Електроніка,Харків,15400,15 400 грн.,false,false,
Unihertz Tank 3 Pro 512 gb,Електроніка,Київ,15999,15 999 грн.,false,false,
•КРАЩА ЦІНА•New iPhone 14 Pro 256gb Новий Європа Айфон 14 Про,Електроніка,Львів,35995,35 995 грн.,false,false,
•КРАЩА ЦІНА• iPhone 13 Pro 256Gb•Новий Айфон 13 Про 256Гб•,Електроніка,Львів,27995,27 995 грн.,false,false,
•КРАЩА ЦІНА•Новий iPhone 13 Mini 256GB Neverlock Apple New Apple,Електроніка,Львів,19995,19 995 грн.,false,false,
Проектор HY300 4K Android 11 Wi-Fi | Домашній кінотеатр,Електроніка,Київ,1500,1 500 грн.,false,false,
•КРАЩА ЦІНА•Samsung S21+ 5g Plus Duos Самсунг Galaxy С21+ NEW•,Електроніка,Львів,15995,15 995 грн.,false,false,
"Пральна машина Miele WWG 669 WCS, Милле, А+ + +, 9кг",Електроніка,Львів,29990,29 990 грн.,false,false,
Ігровий комп'ютер ПК: 1660Super/i5-9400F/16GB/NVMe SSD 512 GB/HDD 1 TB,Електроніка,Київ,14900,14 900 грн.,false,false,
•КРАЩА ЦІНА•Новий iPhone 13 256gb/Айфон 13 256Гб •Оригінал Neverlock,Електроніка,Львів,20995,20 995 грн.,false,false,
POWERBANK на 10000 mAh та 20000 mAh Повербанк,Електроніка,Харків,500,500 грн.Договірна,true,false,
Рякзак для ноутбука,Електроніка,Одеса,650,650 грн.,false,false,
Чохол TechWoven Magsafe iPhone 17 Green чехол айфон 17 Анімація,Електроніка,Київ,899,899 грн.,false,false,
Дисплей iPhone 11 Pro Max экран с заменой модуль стекло айфон сенсор,Електроніка,Київ,1200,1 200 грн.,false,false,
Чохол Rimowa алюмінієвий на 17 pro 17 pro max метал,Електроніка,Дніпро,1230,1 230 грн.,false,false,
ОРИГІНАЛ Акумуляторная батарея Xiaomi (всі моделі),Електроніка,Дніпро,490,490 грн.,false,false,
iPhone 13 Pro 256GB Gold (MLVK3) (Хороший стан),Електроніка,Київ,16000,16 000 грн.,false,false,
Телевізор samsung 45 43 42 34 24 ua45s00 wi-fi IPS Т2 4K,Електроніка,Львів,5950,5 950 грн.,false,false,
Руль logitech g29 + Коробка передач з педалями або поокремо,Електроніка,Одеса,9500,9 500 грн.,false,false,
Дзеркальний фотоапарат Canon EOS 1100D KIT 18-55mm,Електроніка,Харків,4300,4 300 грн.,false,false,
•КРАЩА ЦІНА•Samsung  Note 20 ULTRA / Самсунг Ноте 20 Ультра NEW•,Електроніка,Львів,17995,17 995 грн.,false,false,
"Зарядна станція CTOLITY AP2000 EU розетки (2048Wh, 2400W)LiFePO4, ДБЖ",Електроніка,Харків,40000,40 000 грн.Договірна,true,false,
"PS4, Playstation 4 Slim з іграми 1 тб. П З 12.02 гарантія",Електроніка,Київ,8999,8 999 грн.,false,false,
"ОРИГІНАЛЬНА батарея на iPhone X, XS, XR, 11, 13, 15 Pro Max акумулятор",Електроніка,Київ,475,475 грн.,false,false,
Комплект AM5 / Ryzen 7600X + JGINYUE B650M PRO,Електроніка,Київ,10200,10 200 грн.,false,false,
•КРАЩА ЦІНА• iPhone 15 128GB/Айфон 15 128ГБ Neverlock NEW•,Електроніка,Львів,27995,27 995 грн.,false,false,
DENON AVC A-1SE Ресивер High End класса 1999 г,Електроніка,Дніпро,38000,38 000 грн.,false,false,
Як новий М2 • 8gb | 256gb • Macbook Air 13 2022 • Гарантія Макбук M2,Електроніка,Київ,30900,30 900 грн.,false,false,
"Ноутбук Ultrabook ASUS 17.3"" Ryzen 7 12GB SSD 256 FHD",Електроніка,Одеса,13500,13 500 грн.,false,false,
Інвертор гібридний 2 кВт від 12 V,Електроніка,Дніпро,12500,12 500 грн.Договірна,true,false,
"PlayStation 5 Blue-Ray Edition Console 825Gb, Вживана, Гарантія",Електроніка,Дніпро,18999,18 999 грн.,false,false,
Блок живлення NZXT C850 Gold 850W 80 PLUS Gold Fully Modular White,Електроніка,Київ,3750,3 750 грн.,false,false,
Bose TV Speaker – нова звукова панель / саундбар (з США),Електроніка,Львів,7900,7 900 грн.Договірна,true,false,
Аккумулятор LiFePO4 Литий-железо-фосфатная батарея > 12.8V 100Ач BMS >,Електроніка,Київ,8999,8 999 грн.,false,false,
Счетчик Банкнот MAGNER175 FF / HITACHI 2020-2022 КАК НОВЫЙ Сортировщик,Електроніка,Дніпро,42300,42 300 грн.Договірна,true,false,
Інвертор чистий синус 1000 1500 2000 2500 3000 4000 W 12-24 В Инвертор,Електроніка,Одеса,1495,1 495 грн.,false,false,
Рякзак для ноутбука,Електроніка,Одеса,650,650 грн.,false,false,
Професійний фен Super Hair Dryer 5 в 1 з іонізацією 1600 Вт,Електроніка,Харків,825,825 грн.,false,false,
Силова станція Trex Sport TX-060PR Тренировочный поручень,Електроніка,Київ,3449,3 449 грн.,false,false,
Тканинний Фотофон 3*3м білий чорний або зелений(хромакей),Електроніка,Київ,950,950 грн.,false,false,
Bose TV Speaker – нова звукова панель / саундбар (з США),Електроніка,Львів,7900,7 900 грн.Договірна,true,false,
Аккумулятор LiFePO4 Литий-железо-фосфатная батарея > 12.8V 100Ач BMS >,Електроніка,Київ,8999,8 999 грн.,false,false,
Інвертор чистий синус 1000 1500 2000 2500 3000 4000 W 12-24 В Инвертор,Електроніка,Одеса,1495,1 495 грн.,false,false,
"IPTV телевидение, Безупречное качество телеканалов в SD, HD, 4К",Електроніка,Одеса,45,45 грн.,false,false,
iPhone 14 Pro Max 256Gb Neverlock від Магазину,Електроніка,Київ,22990,22 990 грн.,false,false,
Рякзак для ноутбука,Електроніка,Одеса,650,650 грн.,false,false,
Професійний фен Super Hair Dryer 5 в 1 з іонізацією 1600 Вт,Електроніка,Харків,825,825 грн.,false,false,
iPhone 14 Pro Max 256 Purple ідеальні,Електроніка,Київ,26400,26 400 грн.,false,false,
Накопичувач SSD Intel 670P 1Tb M.2 2280 PCIE Gen3 x4 NVME QLC 100%,Електроніка,Київ,5000,5 000 грн.,false,false,
•КРАЩА ЦІНА• Новий Samsung S20 / NEW Galaxy S20 Оригінал,Електроніка,Львів,10995,10 995 грн.,false,false,
ГАЗОВАЯ Печь ПЛИТА Bosch CM5101 Духовка Газ Электро Гриль Конвекция Бу,Електроніка,Дніпро,6300,6 300 грн.,false,false,
"Реле QA-R-011 беспроводное радиореле 433,92Мгц 5в и 12в 2А",Електроніка,Харків,230,230 грн.,false,false,
Бойлер Midea D80-20ED2(D) як новий,Електроніка,Київ,7000,7 000 грн.,false,false,
Комп'ютер із Європи ПК HP 600 G4 SFF s1151 системний блок i3/i5/i7,Електроніка,Львів,4799,4 799 грн.,false,false,
Магнітний пускач ПМА. ПАЄ. ПМЛ. ПМЕ. Пускатель. Автомат електричний.,Електроніка,Одеса,3000,3 000 грн.,false,false,
•КРАЩА ЦІНА•Samsung S22 Ultra 128GB Новий Galaxy S22 Ультра NEW•,Електроніка,Львів,21495,21 495 грн.,false,false,
iPhone 14 Pro Max 256 Gb Gold ідеал 100%,Електроніка,Київ,28100,28 100 грн.,false,false,
SSD Накопичувач 256gb,Електроніка,Київ,1250,1 250 грн.,false,false,
Преміальне скло Samsung S24 Ultra / защитное стекло Samsung S24,Електроніка,Київ,125,125 грн.,false,false,
•КРАЩА ЦІНА•Новий iPhone 15 Pro 256GB Європа Айфон,Електроніка,Львів,42995,42 995 грн.,false,false,
Навушники Samsung Galaxy Buds 3 Pro ‼️SALE‼️,Електроніка,Одеса,989,989 грн.Договірна,true,false,
"Оренда 2 кімнатної квартири + кухня студія, вул. Топольна, ЖК Авалон",Нерухомість,Львів,66142,66 142.68 грн.,false,false,
Здам капітальний гараж (вул. Незалежності),Нерухомість,Дніпро,2500,2 500 грн.,false,false,
"Здам 2-х к. квартиру на вул. Хрещатик, 27Б в будинку з ГЕНЕРАТОРОМ",Нерухомість,Київ,83780,83 780.73 грн.,false,false,
кімната м Чернігівська,Нерухомість,Київ,2999,2 999 грн.,false,false,
"3к квартира, 5 хв. пішки до м.Дарниця",Нерухомість,Київ,16500,16 500 грн.Договірна,true,false,
"Сдам дом Фонтанка,комнат 3.Генератор, бассейн.Место под авто",Нерухомість,Одеса,66142,66 142.68 грн.,false,false,
Квартира в домах Каркашадзе,Нерухомість,Одеса,57323,57 323.66 грн.,false,false,
"Продам гараж в ГБК ""Метрополітеновець-1""",Нерухомість,Київ,350000,350 000 грн.Договірна,true,false,
"Оренда квартири, бул. Леси Украинки, Печерск",Нерухомість,Київ,52914,52 914.14 грн.,false,false,
"Оренда фасадного торгового приміщення 133м² — вул.Чорновола, 2",Нерухомість,Київ,53200,53 200 грн.,false,false,
кімната дарницька площа,Нерухомість,Київ,2999,2 999 грн.,false,false,
"Оренда приміщення 38 кв.м (побутове, під склад) вул. Журналістів, 13",Нерухомість,Дніпро,5554,5 554 грн.,false,false,
Центр Києва Печерськ кімната біля метро оренда,Нерухомість,Київ,6500,6 500 грн.,false,false,
"Сдам однокомнатную квартиру Королева/Вильямса,,Южный рынок"".",Нерухомість,Одеса,5500,5 500 грн.,false,false,
Центр Києва Печерськ кімната біля метро оренда,Нерухомість,Київ,6500,6 500 грн.,false,false,
"Без-%.Клиника-Магазин-Салон(530м.кв) Вітяні Гори 3, Віноградар",Нерухомість,Київ,255000,255 000 грн.,false,false,
"Продаж земельної ділянки,Деснянський р-н,Троєщина",Нерухомість,Київ,418903,418 903.64 грн.Договірна,true,false,
"Оренда стильної квартири ЖК Сан Франциско, пр- т Берестейський 67",Нерухомість,Київ,23000,23 000 грн.,false,false,
"БЕЗ КОМІСІЇ, ВІД ВЛАСНИКА, оренда 2км. кв, бул.Лесі Укр 7-А, Печерськ.",Нерухомість,Київ,26000,26 000 грн.,false,false,
Без % Світло 24/7 Інститутська Липки Арсенальна Маріїнський парк,Нерухомість,Київ,35276,35 276.10 грн.,false,false,
Здається смарт квартира в Соломянському районі,Нерухомість,Київ,14000,14 000 грн.,false,false,
